asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop,ntl,tr6_ntl,tr100_ntl,tr400_ntl,NTL,t6NTL,t100NTL,t400NTL,ln_NTLpc,ln_t6NTLpc,ln_t100NTLpc,ln_t400NTLpc
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2013,14102,14117.279,14126.41,14130.965,75.40400695800781,80.859016,85.017975,85.631516,7540400640,8085901824,8501797376,8563151360,13.189469,13.258233,13.307742,13.31461
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2014,14513.48,14515.586,14526.873,14531.334,101.1589660644531,101.56589,98.515785,98.018913,10115896320,10156589056,9851578368,9801890816,13.454541,13.45841,13.427142,13.421779
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2015,14922.045,14929.43,14939.941,14943.561,135.7329864501953,124.46154,113.61418,112.05134,13573298176,12446153728,11361418240,11205133312,13.720776,13.633588,13.541696,13.527602
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2016,15360.563,15359.071,15365.972,15367.965,144.153564453125,146.05527,130.05052,127.83028,14415356928,14605527040,13005051904,12783027200,13.752002,13.765204,13.648693,13.631344
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2017,15800.41,15803.503,15805.101,15804.813,193.8070068359375,163.35995,147.61691,145.49557,19380701184,16335995904,14761691136,14549557248,14.019753,13.84865,13.747213,13.732757
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2018,16274.927,16261.756,16257.445,16254.359,182.5449829101563,172.96689,166.1675,165.22791,18254497792,17296689152,16616750080,16522790912,13.930296,13.87721,13.837371,13.83189
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2019,16737.682,16732.229,16723.023,16716.805,152.3004760742188,176.96436,186.02141,187.35492,15230047232,17696436224,18602141696,18735491072,13.721118,13.871537,13.922001,13.929516
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2020,17209.066,17215.309,17202,17192.471,174.4306488037109,180.12592,207.88239,212.34102,17443065856,18012592128,20788238336,21234102272,13.829017,13.860783,14.004872,14.026648
11,Paẕa,BOL-ADM3-33444609B81698958,2012,5955.1514,5913.1484,5902.939,5901.7397,43.75637435913086,44.014637,41.005814,40.568684,4375637504,4401463808,4100581376,4056868352,13.507306,13.520269,13.451189,13.440675
11,Paẕa,BOL-ADM3-33444609B81698958,2013,5969.627,5963.2266,5952.1362,5950.0815,48.97775650024414,44.582081,43.368553,43.205326,4897775616,4458208256,4336855552,4320532480,13.617607,13.524646,13.49891,13.495484
